Name,Quantity,Component
"U1",1," Arduino Uno R3"
"S1",1," Pushbutton"
"DIST1, DIST2",2," Ultrasonic Distance Sensor (4-pin)"
"SERVO1",1,"Positional Micro Servo"
"PIEZO1",1," Piezo"
